Expected: 2, 0, 3
13:36:07.382
13:43:05.423:   [0, 73, 0],2, -1
13:43:07.423:   [0, 73, 1],2, 0
13:43:08.519:   Low
13:43:09.423:   [0, 73, 1],0, -1
13:43:11.423:   [0, 73, 2],2, 0
13:43:13.423:   [0, 73, 3],2, 0
13:43:15.424:   [0, 74, 3],1, 0
13:43:16.903:   Low
13:43:17.424:   [0, 74, 3],0, -1
13:43:19.424:   [0, 75, 3],1, 0
13:43:20.423:   High
13:43:21.424:   [0, 75, 0],2, -1
13:43:23.424:   [0, 75, 1],2, 0
13:43:25.424:   [0, 75, 2],2, 0
13:43:26.319:   High
13:43:27.424:   [0, 75, 0],2, 1
13:43:29.424:   [0, 76, 0],1, 0
13:43:31.424:   [1, 76, 0],0, 0
13:43:33.425:   [1, 77, 0],1, 0
13:43:34.583:   Low
13:43:35.425:   [0, 77, 0],0, 1
13:43:37.425:   [0, 78, 0],1, 0
13:43:39.425:   [1, 78, 0],0, 0
13:43:40.415:   Low
13:43:41.425:   [0, 78, 0],0, 1
13:43:43.425:   [1, 78, 0],0, 0
13:43:45.425:   [1, 78, 1],2, 0
13:43:46.535:   Low
13:43:47.425:   [0, 78, 1],0, 1
13:43:49.425:   [0, 78, 2],2, 0
13:43:51.426:   [1, 78, 2],0, 0
13:43:52.471:   Low
13:43:53.426:   [0, 78, 2],0, 1
13:43:55.426:   [0, 79, 2],1, 0
13:43:56.343:   High
13:43:57.426:   [0, 79, 0],2, 1
13:43:59.426:   [0, 79, 1],2, 0
13:44:01.426:   [1, 79, 1],0, 0
13:44:03.426:   [1, 80, 1],1, 0
13:44:05.426:   [1, 80, 2],2, 0
13:44:07.426:   [1, 81, 2],1, 0
13:44:09.427:   [1, 82, 2],1, 0
13:44:10.423:   High
13:44:11.427:   [1, 82, 0],2, 1
13:44:13.427:   [1, 83, 0],1, 0
13:44:15.427:   [1, 84, 0],1, 0
13:44:17.427:   [1, 84, 1],2, 0
13:44:19.427:   [1, 84, 2],2, 0
13:44:20.583:   Low
13:44:21.427:   [0, 84, 2],0, 1
13:44:23.427:   [1, 84, 2],0, 0
13:44:24.566:   High
13:44:25.428:   [1, 84, 0],2, 1
13:44:26.647:   Low
13:44:27.428:   [0, 84, 0],0, 1
13:44:29.428:   [0, 84, 1],2, 0
13:44:31.428:   [1, 84, 1],0, 0
13:44:33.428:   [1, 85, 1],1, 0
